Year,Screening Window,Subject,Benchmark_Status,% Students
2023-2024,Spring,ELA,At/Above Benchmark,67
2023-2024,Spring,ELA,Below Benchmark,33
2023-2024,Spring,Math,At/Above Benchmark,71
2023-2024,Spring,Math,Below Benchmark,29
2024-2025,Fall,ELA,At/Above Benchmark,78
2024-2025,Fall,ELA,Below Benchmark,22
2024-2025,Fall,Math,At/Above Benchmark,77
2024-2025,Fall,Math,Below Benchmark,23
2024-2025,Winter,ELA,At/Above Benchmark,82
2024-2025,Winter,ELA,Below Benchmark,18
2024-2025,Winter,Math,At/Above Benchmark,77
2024-2025,Winter,Math,Below Benchmark,23
