Year,Screening Window,Grade,Text Type,Reporting Category,Domain,% Beginning,% Developing,% Secure,Median Mastery %,Standard,Description
2024-2025,Fall,5,,Foundational Skills,Phonics and Word Recognition,13,14,72,91,5.RF.3,Know and apply grade-level phonics and word analysis skills in decoding words
2024-2025,Fall,5,,Foundational Skills,Phonics and Word Recognition,13,14,72,91,5.RF.3.a,"Use combined knowledge of all letter-sound correspondences, syllabication patterns, and morphology (e.g., roots and affixes) to read accurately unfamiliar multisyllabic words in context and out of context"
2024-2025,Fall,5,,Foundational Skills,Fluency,13,14,72,91,5.RF.4,Read with sufficient accuracy and fluencty to support comprehension
2024-2025,Fall,5,,Foundational Skills,Fluency,13,14,72,91,5.RF.4.a,Read grade-level text with purpose and understanding
2024-2025,Fall,5,,Foundational Skills,Fluency,13,14,72,91,5.RF.4.b,"Read grade-level prose and poetry orally with accuracy, appropriate rate, and expression on successive readings."
2024-2025,Fall,5,,Foundational Skills,Fluency,13,14,72,90,5.RF.4.c,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary."
2024-2025,Fall,5,Informational Text,Reading,Key Ideas and Details,17,13,70,88,5.RI.1,Quote or paraphrase a text accurately when explaining whatthe text states explicitly and when drawing inferences from the text.
2024-2025,Fall,5,Informational Text,Reading,Key Ideas and Details,19,20,61,85,5.RI.2,Determine one or more main ideas ofa text and explain how they are supported by key details; summarize a text.
2024-2025,Fall,5,Informational Text,Reading,Key Ideas and Details,18,20,62,86,5.RI.3,"Explain the relationships or interactions between two or more individuals, events, ideas, or concepts in a historical, scientific, mathematical, ortechnicaltext based on specific information in the text."
2024-2025,Fall,5,Informational Text,Reading,Craft and Structure,27,22,51,80,5.RI.4,"Determine the meaning ofgeneral academic and domain-specific words and phrases in a textrelevantto a grade 5 topic or
subject area."
2024-2025,Fall,5,Informational Text,Reading,Craft and Structure,26,23,51,80,5.RI.5,"Describe how an author uses one or more structures (e.g., chronology, comparison, cause/effect, problem/solution) of events,to
present information in a text."
2024-2025,Fall,5,Informational Text,Reading,Craft and Structure,20,18,62,85,5.RI.6,"Analyze multiple accounts ofthe same event ortopic, noting important similarities and differences among the points of view they represent."
