"","Grade","School_Year","Assignment Type","Test 1 PR","Test 1 Benchmark Category","SGP (Expectation=50)","Gender","IEP_Status","504_Status","Low_Income_Status"
"1","5","2023-2024","Star Math",98,"At/Above Benchmark",4,"Male","0","0","0"
"2","5","2023-2024","Star Math",25,"On Watch",13,"Female","0","0","1"
"3","5","2023-2024","Star Math",88,"At/Above Benchmark",43,"Female","0","1","0"
"4","5","2023-2024","Star Math",85,"At/Above Benchmark",36,"Female","0","0","0"
"5","5","2023-2024","Star Math",75,"At/Above Benchmark",30,"Female","0","0","0"
"6","5","2023-2024","Star Math",31,"On Watch",75,"Female","1","0","0"
"7","5","2023-2024","Star Math",4,"Urgent Intervention",28,"Female","1","0","1"
"8","5","2023-2024","Star Math",85,"At/Above Benchmark",15,"Female","0","0","0"
"9","5","2023-2024","Star Math",49,"At/Above Benchmark",30,"Female","1","0","0"
"10","5","2023-2024","Star Math",80,"At/Above Benchmark",51,"Male","0","1","0"
"11","5","2023-2024","Star Math",76,"At/Above Benchmark",70,"Male","0","0","0"
"12","5","2023-2024","Star Math",89,"At/Above Benchmark",79,"Male","0","0","0"
"13","5","2023-2024","Star Math",62,"At/Above Benchmark",99,"Male","0","0","0"
"14","5","2023-2024","Star Math",80,"At/Above Benchmark",69,"Male","0","0","1"
"15","5","2023-2024","Star Math",70,"At/Above Benchmark",4,"Male","1","0","0"
"16","5","2023-2024","Star Math",64,"At/Above Benchmark",9,"Female","0","0","0"
"17","5","2023-2024","Star Math",1,"Urgent Intervention",24,"Male","1","0","1"
"18","5","2023-2024","Star Math",85,"At/Above Benchmark",54,"Male","0","1","0"
"19","5","2023-2024","Star Math",39,"On Watch",7,"Female","0","0","0"
"20","5","2023-2024","Star Math",47,"At/Above Benchmark",74,"Female","0","1","0"
"21","5","2023-2024","Star Math",67,"At/Above Benchmark",54,"Male","0","0","0"
"22","5","2023-2024","Star Math",84,"At/Above Benchmark",94,"Male","0","0","1"
"23","5","2023-2024","Star Math",67,"At/Above Benchmark",2,"Female","1","0","0"
"24","5","2023-2024","Star Math",86,"At/Above Benchmark",4,"Male","0","0","0"
"25","5","2023-2024","Star Math",5,"Urgent Intervention",2,"Female","1","0","0"
"26","5","2023-2024","Star Math",49,"At/Above Benchmark",14,"Male","0","1","1"
"27","5","2023-2024","Star Math",98,"At/Above Benchmark",9,"Female","0","0","0"
"28","5","2023-2024","Star Math",88,"At/Above Benchmark",75,"Male","0","0","1"
"29","5","2023-2024","Star Math",85,"At/Above Benchmark",35,"Male","0","0","0"
"30","5","2023-2024","Star Math",17,"Intervention",49,"Female","0","0","0"
"31","5","2023-2024","Star Math",31,"On Watch",26,"Female","0","0","1"
"32","5","2023-2024","Star Math",56,"At/Above Benchmark",52,"Female","0","0","0"
"33","5","2023-2024","Star Math",91,"At/Above Benchmark",5,"Female","0","0","0"
"34","5","2023-2024","Star Math",86,"At/Above Benchmark",57,"Female","0","0","0"
"35","5","2023-2024","Star Math",53,"At/Above Benchmark",24,"Male","0","0","1"
"36","5","2023-2024","Star Math",97,"At/Above Benchmark",2,"Female","0","0","1"
"37","5","2023-2024","Star Math",51,"At/Above Benchmark",75,"Female","0","0","1"
"38","5","2023-2024","Star Math",94,"At/Above Benchmark",40,"Female","0","0","0"
"39","5","2023-2024","Star Math",67,"At/Above Benchmark",93,"Male","0","0","1"
"40","5","2023-2024","Star Math",46,"At/Above Benchmark",69,"Male","1","0","0"
"41","5","2023-2024","Star Math",40,"At/Above Benchmark",22,"Male","1","0","0"
"42","5","2023-2024","Star Math",7,"Urgent Intervention",16,"Female","1","0","0"
"43","5","2023-2024","Star Math",67,"At/Above Benchmark",3,"Male","1","0","0"
"44","5","2023-2024","Star Math",88,"At/Above Benchmark",23,"Male","0","0","1"
"45","5","2023-2024","Star Math",49,"At/Above Benchmark",60,"Male","0","1","0"
"46","5","2023-2024","Star Math",57,"At/Above Benchmark",82,"Female","0","0","0"
"47","5","2023-2024","Star Math",56,"At/Above Benchmark",65,"Male","0","0","0"
"48","5","2023-2024","Star Math",16,"Intervention",36,"Female","0","0","1"
"49","5","2023-2024","Star Math",23,"Intervention",20,"Female","1","0","1"
"50","5","2023-2024","Star Math",66,"At/Above Benchmark",26,"Male","1","0","1"
"51","5","2023-2024","Star Math",38,"On Watch",78,"Female","0","0","0"
"52","5","2023-2024","Star Math",69,"At/Above Benchmark",61,"Female","0","0","0"
"53","5","2023-2024","Star Math",31,"On Watch",23,"Female","0","0","0"
"54","5","2023-2024","Star Math",26,"On Watch",72,"Male","0","0","0"
"55","5","2023-2024","Star Math",67,"At/Above Benchmark",60,"Female","0","0","0"
"56","5","2023-2024","Star Math",5,"Urgent Intervention",19,"Male","1","0","0"
"57","5","2023-2024","Star Math",66,"At/Above Benchmark",93,"Male","0","0","1"
"58","5","2023-2024","Star Math",19,"Intervention",29,"Female","1","0","0"
"59","5","2023-2024","Star Math",33,"On Watch",10,"Female","0","0","1"
"60","5","2023-2024","Star Math",26,"On Watch",13,"Female","1","0","1"
"61","5","2023-2024","Star Math",18,"Intervention",42,"Female","0","0","0"
"62","5","2023-2024","Star Math",82,"At/Above Benchmark",28,"Male","0","1","0"
"63","5","2023-2024","Star Math",19,"Intervention",60,"Female","0","0","0"
"64","5","2023-2024","Star Math",36,"On Watch",19,"Female","0","0","0"
"65","5","2023-2024","Star Math",72,"At/Above Benchmark",26,"Female","0","0","1"
"66","5","2023-2024","Star Math",24,"Intervention",96,"Male","0","0","0"
"67","5","2023-2024","Star Math",56,"At/Above Benchmark",5,"Female","0","1","0"
"68","5","2023-2024","Star Math",4,"Urgent Intervention",34,"Female","1","0","1"
"69","5","2023-2024","Star Math",98,"At/Above Benchmark",52,"Female","0","0","0"
"70","5","2023-2024","Star Math",14,"Intervention",18,"Male","1","0","0"
"71","5","2023-2024","Star Math",70,"At/Above Benchmark",73,"Female","0","0","1"
"72","5","2023-2024","Star Math",88,"At/Above Benchmark",79,"Female","0","0","0"
"73","5","2023-2024","Star Math",91,"At/Above Benchmark",88,"Male","0","0","0"
"74","5","2023-2024","Star Math",60,"At/Above Benchmark",76,"Female","0","1","1"
"75","5","2023-2024","Star Math",24,"Intervention",57,"Male","1","0","0"
"76","5","2023-2024","Star Math",18,"Intervention",91,"Female","0","0","0"
"77","5","2023-2024","Star Math",51,"At/Above Benchmark",38,"Male","0","1","0"
"78","5","2023-2024","Star Math",51,"At/Above Benchmark",2,"Male","0","0","0"
"79","5","2023-2024","Star Math",40,"At/Above Benchmark",13,"Female","0","0","0"
"80","5","2023-2024","Star Math",13,"Intervention",1,"Female","1","0","0"
"81","5","2023-2024","Star Math",37,"On Watch",43,"Female","1","0","1"
"82","5","2023-2024","Star Math",99,"At/Above Benchmark",24,"Female","0","0","0"
"83","5","2023-2024","Star Math",97,"At/Above Benchmark",87,"Male","0","0","0"
